original_row,issue,issue_tags,url,title,source,frame,memo,action,reason
18,AI 반도체,AI반도체;증시;쏠림,https://www.ajunews.com/view/20260529191849583,"[오늘의 ABC 뉴스룸] ""대기업 월 810만 원 돈잔치"" 6년 만에 최악의 양극...",ajunews.com,성과_쏠림,"반도체 호황과 가계·자영업 체감경기 간 괴리 중심으로 다루며, 대기업·증시 쏠림과 분배 불균형 문제 제기",drop,제목과 메모 기준으로 AI 반도체/기후재난 어느 이슈와도 직접 맞지 않는 일반 경제 요약 기사로 보여 제외 권장.
34,최저임금,최저임금;노동자;생활임금,https://www.laborplus.co.kr/news/articleView.html?idxno=40920,[위클립] 5월 4주,laborplus.co.kr,노동자_생활,"최저임금 결정 과정의 사회적 쟁점 중심으로 다루며, 노동자 생계 보장 입장 강조",drop,같은 [위클립] 요약 기사가 여러 이슈에 반복 배치되어 특정 이슈 대표 기사로 쓰기 어려워 제외 권장.
35,최저임금,최저임금;노동자;생활임금,https://www.cbci.co.kr/news/articleView.html?idxno=578082,[정치家] 김영훈 고용노동부 장관 ④ㅣ '사회적 대화' 강조…노동·이익...,cbci.co.kr,노동자_생활,"최저임금 결정 과정의 사회적 쟁점 중심으로 다루며, 노동자 생계 보장 입장 강조",drop,노동부 장관 인터뷰 성격이 강해 최저임금/플랫폼 노동 개별 이슈 기사로 보기 애매해 제외 권장.
40,최저임금,최저임금;노동자;생활임금,http://news.inochong.org/detail.php?number=6469&thread=14,최저임금 적용 범위 확대의 필요성 : 도급제 노동자 등 확대 방안,news.inochong.org,노동자_생활,"최저임금 인상·적용 확대를 통한 노동자 생계 보장 중심으로 다루며, 노동자 생계 보장 입장 강조",keep,"제목에 최저임금이 직접 명시되어 있어 최저임금 이슈 기사로 유지, 플랫폼 노동 중복 라벨은 제거 권장."
41,최저임금,최저임금;노동자;생활임금,https://n.news.naver.com/mnews/article/654/0000182535?sid=110,[사설] 최저임금 '지역별 차등제' 졸속 안된다,강원도민일보,노동자_생활,"업종별 차등 적용과 인건비 부담 완화 요구를 중심으로 다루며, 노동자 생계 보장 입장 강조",keep,같은 기사에 상반된 프레임이 붙어 있음. 제목상 경영계 부담보다 차등제 비판 맥락이 강해 row 41 유지 권장.
42,최저임금,최저임금;노동자;생활임금,http://worknworld.kctu.org/news/articleView.html?idxno=509324,"민주노총, ""최임 전문위원회 도급 노동자 적용 심의 과정 유감""",worknworld.kctu.org,노동자_생활,"최저임금 인상·적용 확대를 통한 노동자 생계 보장 중심으로 다루며, 노동자 생계 보장 입장 강조",keep,민주노총 입장 기사로 노동자 측 관점이 더 자연스러워 row 42 유지 권장.
43,최저임금,최저임금;노동자;생활임금,https://www.etoday.co.kr/news/view/2587952,"내년 최저임금 논의 본격화…노사, 구분적용·도급근로자 적용 충돌",etoday.co.kr,노동자_생활,"최저임금 인상·적용 확대를 통한 노동자 생계 보장 중심으로 다루며, 노동자 생계 보장 입장 강조",keep,같은 기사에 노동자_생활/경영계_부담이 동시에 붙어 있어 하나만 유지. 다만 제목상 갈등 구도 성격도 있어 frame 재검토 권장.
57,최저임금,최저임금;소상공인;기업부담,https://n.news.naver.com/mnews/article/654/0000182535?sid=110,[사설] 최저임금 '지역별 차등제' 졸속 안된다,강원도민일보,경영계_부담,"업종별 차등 적용과 인건비 부담 완화 요구를 중심으로 다루며, 소상공인·중소기업 부담 및 경영계 입장 강조",drop,같은 기사에 상반된 프레임이 붙어 있음. 제목상 경영계 부담보다 차등제 비판 맥락이 강해 row 41 유지 권장.
58,최저임금,최저임금;소상공인;기업부담,http://worknworld.kctu.org/news/articleView.html?idxno=509324,"민주노총, ""최임 전문위원회 도급노동자 적용 심의 과정 유감""",worknworld.kctu.org,경영계_부담,"최저임금 인상·적용 확대를 통한 노동자 생계 보장 중심으로 다루며, 소상공인·중소기업 부담 및 경영계 입장 강조",drop,민주노총 입장 기사로 노동자 측 관점이 더 자연스러워 row 42 유지 권장.
61,최저임금,최저임금;소상공인;기업부담,https://www.etoday.co.kr/news/view/2587952,"내년 최저임금 논의 본격화…노사, 구분적용·도급근로자 적용 충돌",etoday.co.kr,경영계_부담,"최저임금 인상·적용 확대를 통한 노동자 생계 보장 중심으로 다루며, 소상공인·중소기업 부담 및 경영계 입장 강조",drop,같은 기사에 노동자_생활/경영계_부담이 동시에 붙어 있어 하나만 유지. 다만 제목상 갈등 구도 성격도 있어 frame 재검토 권장.
